#GroupName	ProteinCount	SpeciesCount	FunctionalCategory	ConsensusFunctionalDescription
VOG16829	3	3	Xu	REFSEQ hypothetical protein
VOG16830	5	5	Xu	REFSEQ hypothetical protein
VOG16831	7	7	Xu	REFSEQ hypothetical protein
VOG16832	3	3	Xu	REFSEQ hypothetical protein
VOG16833	7	7	Xu	REFSEQ hypothetical protein
VOG16834	7	7	Xu	REFSEQ hypothetical protein
VOG16835	3	3	Xu	REFSEQ hypothetical protein
VOG16836	3	3	Xu	REFSEQ hypothetical protein
VOG16837	5	5	Xu	REFSEQ hypothetical protein
VOG16838	4	4	Xu	REFSEQ hypothetical protein
VOG16839	4	4	Xu	REFSEQ hypothetical protein
VOG16840	4	4	Xu	REFSEQ hypothetical protein
VOG16841	3	3	Xu	REFSEQ hypothetical protein
VOG16842	3	3	Xu	REFSEQ hypothetical protein
VOG16843	4	4	Xu	REFSEQ hypothetical protein
VOG16844	3	3	Xu	REFSEQ methyltransferase domain-containing protein
VOG16845	3	3	Xu	REFSEQ hypothetical protein
VOG16846	3	3	Xu	REFSEQ hypothetical protein
VOG16847	4	4	Xu	REFSEQ Scr1 family TA system antitoxin-like transcriptional regulator
VOG16848	3	3	Xu	REFSEQ hypothetical protein
VOG16849	3	3	Xu	REFSEQ hypothetical protein
VOG16850	3	3	Xu	REFSEQ hypothetical protein
VOG16851	3	3	Xu	REFSEQ hypothetical protein
VOG16852	7	7	Xu	REFSEQ hypothetical protein
VOG16853	3	3	Xu	REFSEQ hypothetical protein
VOG16854	3	3	Xu	REFSEQ hypothetical protein
VOG16855	3	3	Xu	REFSEQ hypothetical protein
VOG16856	3	3	Xu	REFSEQ hypothetical protein
VOG16857	3	3	Xu	REFSEQ putative transmembrane protein
VOG16858	5	5	Xu	REFSEQ hypothetical protein
VOG16859	12	12	Xu	REFSEQ hypothetical protein
VOG16860	5	5	Xu	REFSEQ hypothetical protein
VOG16861	5	5	Xu	REFSEQ hypothetical protein
VOG16862	5	5	Xu	REFSEQ hypothetical protein
VOG16863	4	4	Xu	REFSEQ hypothetical protein
VOG16864	5	5	Xu	REFSEQ hypothetical protein
VOG16865	9	9	Xu	REFSEQ hypothetical protein
VOG16866	12	12	Xu	REFSEQ hypothetical protein
VOG16867	3	3	Xu	REFSEQ hypothetical protein
VOG16868	4	4	Xu	REFSEQ hypothetical protein
VOG16869	3	3	Xu	REFSEQ hypothetical protein
VOG16870	4	4	Xu	REFSEQ hypothetical protein
VOG16871	4	4	Xu	REFSEQ hypothetical protein
VOG16872	3	3	Xu	REFSEQ hypothetical protein
VOG16873	3	3	Xu	REFSEQ hypothetical protein
VOG16874	3	3	Xu	REFSEQ hypothetical protein
VOG16875	3	3	Xu	REFSEQ hypothetical protein
VOG16876	4	4	Xu	REFSEQ hypothetical protein
VOG16877	3	3	Xu	REFSEQ hypothetical protein
VOG16878	4	4	Xu	REFSEQ hypothetical protein
VOG16879	3	3	Xu	REFSEQ hypothetical protein
VOG16880	5	5	Xu	REFSEQ hypothetical protein
VOG16881	5	5	Xu	REFSEQ hypothetical protein
VOG16882	4	4	Xu	REFSEQ hypothetical protein
VOG16883	5	5	Xu	REFSEQ hypothetical protein
VOG16884	3	3	Xu	REFSEQ hypothetical protein
VOG16885	3	3	Xu	REFSEQ hypothetical protein
VOG16886	3	3	Xu	REFSEQ hypothetical protein
VOG16887	3	3	Xu	REFSEQ hypothetical protein
VOG16888	3	3	Xu	REFSEQ hypothetical protein
VOG16889	4	4	Xu	REFSEQ hypothetical protein
VOG16890	3	3	Xu	REFSEQ hypothetical protein
VOG16891	3	3	Xu	REFSEQ hypothetical protein
VOG16892	3	3	Xu	REFSEQ hypothetical protein
VOG16893	3	3	Xu	REFSEQ hypothetical protein
VOG16894	3	3	Xu	REFSEQ hypothetical protein
VOG16895	4	4	Xu	REFSEQ hypothetical protein
VOG16896	3	3	Xu	REFSEQ hypothetical protein
VOG16897	3	3	Xu	REFSEQ hypothetical protein
VOG16898	4	4	Xu	REFSEQ hypothetical protein
VOG16899	5	5	Xu	REFSEQ hypothetical protein
VOG16900	4	4	Xu	REFSEQ hypothetical protein
VOG16901	4	4	Xu	REFSEQ hypothetical protein
VOG16902	4	4	Xu	REFSEQ hypothetical protein
VOG16903	4	4	Xu	REFSEQ hypothetical protein
VOG16904	4	4	Xu	REFSEQ hypothetical protein
VOG16905	4	4	Xu	REFSEQ hypothetical protein
VOG16906	4	4	Xu	REFSEQ hypothetical protein
VOG16907	4	4	Xu	REFSEQ hypothetical protein
VOG16908	4	4	Xu	REFSEQ hypothetical protein
VOG16909	4	4	Xu	REFSEQ hypothetical protein
VOG16910	4	4	Xu	REFSEQ hypothetical protein
VOG16911	4	4	Xu	REFSEQ hypothetical protein
VOG16912	4	4	Xu	REFSEQ hypothetical protein
VOG16913	3	3	Xu	REFSEQ hypothetical protein
VOG16914	4	4	Xu	REFSEQ hypothetical protein
VOG16915	3	3	Xu	REFSEQ hypothetical protein
VOG16916	4	4	Xu	REFSEQ hypothetical protein
VOG16917	3	3	Xu	REFSEQ hypothetical protein
VOG16918	3	3	Xu	REFSEQ hypothetical protein
VOG16919	4	4	Xu	REFSEQ hypothetical protein
VOG16920	4	4	Xu	REFSEQ hypothetical protein
VOG16921	4	4	Xu	REFSEQ hypothetical protein
VOG16922	4	4	Xu	REFSEQ hypothetical protein
VOG16923	4	4	Xu	REFSEQ hypothetical protein
VOG16924	5	5	Xu	REFSEQ hypothetical protein
VOG16925	5	5	Xu	REFSEQ hypothetical protein
VOG16926	4	4	Xu	REFSEQ hypothetical protein
VOG16927	3	3	Xu	REFSEQ hypothetical protein
VOG16928	5	5	Xu	REFSEQ hypothetical protein
VOG16929	3	3	Xu	REFSEQ hypothetical protein
VOG16930	4	4	Xu	REFSEQ hypothetical protein
VOG16931	6	6	Xu	REFSEQ hypothetical protein
VOG16932	6	6	Xu	REFSEQ hypothetical protein
VOG16933	6	6	Xu	REFSEQ hypothetical protein
VOG16934	4	4	Xu	REFSEQ hypothetical protein
VOG16935	6	6	Xu	REFSEQ hypothetical protein
VOG16936	6	6	Xu	REFSEQ hypothetical protein
VOG16937	6	6	Xu	REFSEQ hypothetical protein
VOG16938	6	6	Xu	REFSEQ hypothetical protein
VOG16939	6	6	Xu	REFSEQ hypothetical protein
VOG16940	6	6	Xu	REFSEQ hypothetical protein
VOG16941	6	6	Xu	REFSEQ hypothetical protein
VOG16942	6	6	Xu	REFSEQ hypothetical protein
VOG16943	6	6	Xu	REFSEQ hypothetical protein
VOG16944	4	4	Xu	REFSEQ hypothetical protein
VOG16945	6	6	Xu	REFSEQ hypothetical protein
VOG16946	6	6	Xu	REFSEQ hypothetical protein
VOG16947	6	6	Xu	REFSEQ hypothetical protein
VOG16948	5	5	Xu	REFSEQ hypothetical protein
VOG16949	6	6	Xu	REFSEQ hypothetical protein
VOG16950	6	6	Xu	REFSEQ putative ILEI domain-containing protein
VOG16951	6	6	Xu	REFSEQ hypothetical protein
VOG16952	6	6	Xu	REFSEQ hypothetical protein
VOG16953	6	6	Xu	REFSEQ hypothetical protein
VOG16954	4	4	Xu	REFSEQ hypothetical protein
VOG16955	9	6	Xu	REFSEQ hypothetical protein
VOG16956	6	6	Xu	REFSEQ putative VgrG-like protein/endolysin
VOG16957	6	6	Xu	REFSEQ hypothetical protein
VOG16958	6	6	Xu	REFSEQ hypothetical protein
VOG16959	6	6	Xu	REFSEQ hypothetical protein
VOG16960	6	6	Xu	REFSEQ hypothetical protein
VOG16961	6	6	Xu	REFSEQ hypothetical protein
VOG16962	6	6	Xu	REFSEQ hypothetical protein
VOG16963	6	6	Xu	REFSEQ hypothetical protein
VOG16964	6	6	Xu	REFSEQ hypothetical protein
VOG16965	6	6	Xu	REFSEQ hypothetical protein
VOG16966	4	4	Xu	REFSEQ hypothetical protein
VOG16967	6	6	Xu	REFSEQ hypothetical protein
VOG16968	6	6	Xu	REFSEQ hypothetical protein
VOG16969	6	6	Xu	REFSEQ hypothetical protein
VOG16970	6	6	Xu	REFSEQ hypothetical protein
VOG16971	6	6	Xu	REFSEQ hypothetical protein
VOG16972	6	6	Xu	REFSEQ hypothetical protein
VOG16973	6	6	Xu	REFSEQ hypothetical protein
VOG16974	6	6	Xu	REFSEQ hypothetical protein
VOG16975	6	6	Xu	REFSEQ hypothetical protein
VOG16976	6	6	Xu	REFSEQ putative DUF2778 domain-containing protein
VOG16977	6	6	Xu	REFSEQ hypothetical protein
VOG16978	6	6	Xu	REFSEQ hypothetical protein
VOG16979	4	4	Xu	REFSEQ hypothetical protein
VOG16980	3	3	Xu	REFSEQ hypothetical protein
VOG16981	6	6	Xu	REFSEQ hypothetical protein
VOG16982	6	6	Xu	REFSEQ hypothetical protein
VOG16983	6	6	Xu	REFSEQ putative inverse autotransporter beta-barrel domain-containing protein
VOG16984	6	6	Xu	REFSEQ hypothetical protein
VOG16985	4	4	Xu	REFSEQ hypothetical protein
VOG16986	6	6	Xu	REFSEQ hypothetical protein
VOG16987	4	4	Xu	REFSEQ hypothetical protein
VOG16988	6	6	Xu	REFSEQ hypothetical protein
VOG16989	4	4	Xu	REFSEQ putative RecA protein
VOG16990	4	4	Xu	REFSEQ hypothetical protein
VOG16991	5	5	Xu	REFSEQ hypothetical protein
VOG16992	4	4	Xu	REFSEQ hypothetical protein
VOG16993	5	5	Xu	REFSEQ hypothetical protein
VOG16994	6	6	Xu	REFSEQ hypothetical protein
VOG16995	3	3	Xu	REFSEQ hypothetical protein
VOG16996	4	4	Xu	REFSEQ hypothetical protein
VOG16997	4	4	Xu	REFSEQ hypothetical protein
VOG16998	3	3	Xu	REFSEQ hypothetical protein
VOG16999	6	6	Xu	REFSEQ hypothetical protein
VOG17000	6	6	Xu	REFSEQ hypothetical protein
VOG17001	4	4	Xu	REFSEQ hypothetical protein
VOG17002	6	6	Xu	REFSEQ hypothetical protein
VOG17003	6	6	Xu	REFSEQ hypothetical protein
VOG17004	4	4	Xu	REFSEQ hypothetical protein
VOG17005	4	4	Xu	REFSEQ hypothetical protein
VOG17006	5	5	Xu	REFSEQ hypothetical protein
VOG17007	6	6	Xu	REFSEQ hypothetical protein
VOG17008	6	6	Xu	REFSEQ hypothetical protein
VOG17009	6	6	Xu	REFSEQ hypothetical protein
VOG17010	6	6	Xu	REFSEQ hypothetical protein
VOG17011	6	6	Xu	REFSEQ hypothetical protein
VOG17012	6	6	Xu	REFSEQ hypothetical protein
VOG17013	4	4	Xu	REFSEQ hypothetical protein
VOG17014	6	6	Xu	REFSEQ hypothetical protein
VOG17015	3	3	Xu	REFSEQ hypothetical protein
VOG17016	3	3	Xu	REFSEQ hypothetical protein
VOG17017	4	3	Xu	REFSEQ hypothetical protein
VOG17018	3	3	Xu	REFSEQ hypothetical protein
VOG17019	3	3	Xu	REFSEQ hypothetical protein
VOG17020	3	3	Xu	REFSEQ hypothetical protein
VOG17021	3	3	Xu	REFSEQ hypothetical protein
VOG17022	3	3	Xu	REFSEQ hypothetical protein
VOG17023	3	3	Xu	REFSEQ hypothetical protein
VOG17024	3	3	Xu	REFSEQ hypothetical protein
VOG17025	3	3	Xu	REFSEQ hypothetical protein
VOG17026	3	3	Xu	REFSEQ hypothetical protein
VOG17027	3	3	Xu	REFSEQ hypothetical protein
VOG17028	4	4	Xu	REFSEQ hypothetical protein
VOG17029	3	3	Xu	REFSEQ hypothetical protein
VOG17030	3	3	Xu	REFSEQ tail fiber protein
VOG17031	3	3	Xu	REFSEQ hypothetical protein
VOG17032	14	14	Xu	REFSEQ hypothetical protein
VOG17033	9	7	Xu	REFSEQ hypothetical protein
VOG17034	4	4	Xu	REFSEQ transglycosylase
VOG17035	3	3	Xu	REFSEQ hypothetical protein
VOG17036	3	3	Xu	REFSEQ hypothetical protein
VOG17037	3	3	Xu	REFSEQ DNA gyrase
VOG17038	5	5	Xu	REFSEQ hypothetical protein
VOG17039	5	5	Xu	REFSEQ hypothetical protein
VOG17040	5	5	Xu	REFSEQ hypothetical protein
VOG17041	5	5	Xu	REFSEQ hypothetical protein
VOG17042	5	5	Xu	REFSEQ hypothetical protein
VOG17043	5	5	Xu	REFSEQ hypothetical protein
VOG17044	5	5	Xu	REFSEQ hypothetical protein
VOG17045	3	3	Xu	REFSEQ hypothetical protein
VOG17046	5	5	Xu	REFSEQ hypothetical protein
VOG17047	3	3	Xu	REFSEQ hypothetical protein
VOG17048	5	5	Xu	REFSEQ hypothetical protein
VOG17049	5	5	Xu	REFSEQ hypothetical protein
VOG17050	5	5	Xu	REFSEQ hypothetical protein
VOG17051	5	5	Xu	REFSEQ hypothetical protein
VOG17052	5	5	Xu	REFSEQ hypothetical protein
VOG17053	5	5	Xu	REFSEQ hypothetical protein
VOG17054	5	5	Xu	REFSEQ hypothetical protein
VOG17055	5	5	Xu	REFSEQ hypothetical protein
VOG17056	5	5	Xu	REFSEQ hypothetical protein
VOG17057	5	5	Xu	REFSEQ hypothetical protein
VOG17058	5	5	Xu	REFSEQ hypothetical protein
VOG17059	5	5	Xh	sp|P63872|CYSK_STAAW Cysteine synthase
VOG17060	5	5	Xu	REFSEQ hypothetical protein
VOG17061	5	5	Xu	REFSEQ hypothetical protein
VOG17062	5	5	Xu	REFSEQ hypothetical protein
VOG17063	4	4	Xu	REFSEQ hypothetical protein
VOG17064	5	5	Xu	REFSEQ hypothetical protein
VOG17065	4	4	Xu	REFSEQ hypothetical protein
VOG17066	4	4	Xu	REFSEQ hypothetical protein
VOG17067	5	5	Xu	REFSEQ hypothetical protein
VOG17068	5	5	Xu	REFSEQ hypothetical protein
VOG17069	5	5	Xu	REFSEQ hypothetical protein
VOG17070	4	4	Xu	REFSEQ hypothetical protein
VOG17071	5	5	Xu	REFSEQ hypothetical protein
VOG17072	4	4	Xu	REFSEQ hypothetical protein
VOG17073	5	5	Xu	REFSEQ hypothetical protein
VOG17074	5	5	Xu	REFSEQ hypothetical protein
VOG17075	5	5	Xu	REFSEQ hypothetical protein
VOG17076	5	5	Xu	REFSEQ hypothetical protein
VOG17077	5	5	Xu	REFSEQ structural protein
VOG17078	5	5	Xu	REFSEQ hypothetical protein
VOG17079	5	5	Xu	REFSEQ hypothetical protein
VOG17080	5	5	Xu	REFSEQ hypothetical protein
VOG17081	5	5	Xu	REFSEQ structural protein
VOG17082	5	5	Xu	REFSEQ structural protein
VOG17083	5	5	Xu	REFSEQ hypothetical protein
VOG17084	5	5	Xu	REFSEQ hypothetical protein
VOG17085	5	5	Xu	REFSEQ hypothetical protein
VOG17086	5	5	Xu	REFSEQ hypothetical protein
VOG17087	5	5	Xu	REFSEQ hypothetical protein
VOG17088	5	5	Xu	REFSEQ structural protein
VOG17089	5	5	Xu	REFSEQ hypothetical protein
VOG17090	5	5	Xu	REFSEQ hypothetical protein
VOG17091	5	5	Xu	REFSEQ tail tape measure protein
VOG17092	5	5	Xu	REFSEQ hypothetical protein
VOG17093	5	5	Xu	REFSEQ endolysin
VOG17094	5	5	Xu	REFSEQ structural protein
VOG17095	5	5	Xu	REFSEQ hypothetical protein
VOG17096	5	5	Xu	REFSEQ hypothetical protein
VOG17097	5	5	Xu	REFSEQ structural protein
VOG17098	5	5	Xu	REFSEQ hypothetical protein
VOG17099	5	5	Xu	REFSEQ hypothetical protein
VOG17100	5	5	Xu	REFSEQ hypothetical protein
VOG17101	5	5	Xu	REFSEQ hypothetical protein
VOG17102	5	5	Xu	REFSEQ structural protein
VOG17103	4	4	Xu	REFSEQ hypothetical protein
VOG17104	3	3	Xu	REFSEQ hypothetical protein
VOG17105	7	7	Xu	REFSEQ hypothetical protein
VOG17106	3	3	Xu	REFSEQ hypothetical protein
VOG17107	3	3	Xu	REFSEQ major capsid protein
VOG17108	3	3	Xu	REFSEQ hypothetical protein
VOG17109	3	3	Xu	REFSEQ glycosyltransferase
VOG17110	3	3	Xu	REFSEQ hypothetical protein
VOG17111	3	3	Xu	REFSEQ hypothetical protein
VOG17112	10	10	Xu	REFSEQ hypothetical protein
VOG17113	4	4	Xu	REFSEQ hypothetical protein
VOG17114	4	4	Xu	REFSEQ hypothetical protein
VOG17115	3	3	Xu	REFSEQ hypothetical protein
VOG17116	3	3	Xu	REFSEQ hypothetical protein
VOG17117	4	4	Xu	REFSEQ hypothetical protein
VOG17118	3	3	Xu	REFSEQ hypothetical protein
VOG17119	4	4	Xu	REFSEQ hypothetical protein
VOG17120	4	4	Xu	REFSEQ hypothetical protein
VOG17121	3	3	Xu	REFSEQ hypothetical protein
VOG17122	4	4	Xu	REFSEQ hypothetical protein
VOG17123	3	3	Xu	REFSEQ hypothetical protein
VOG17124	4	4	Xu	REFSEQ hypothetical protein
VOG17125	4	4	Xu	REFSEQ hypothetical protein
VOG17126	4	4	Xu	REFSEQ hypothetical protein
VOG17127	3	3	Xu	REFSEQ hypothetical protein
VOG17128	4	4	Xu	REFSEQ hypothetical protein
VOG17129	5	4	Xu	REFSEQ hypothetical protein
VOG17130	3	3	Xu	REFSEQ hypothetical protein
VOG17131	3	3	Xu	REFSEQ hypothetical protein
VOG17132	4	4	Xu	REFSEQ hypothetical protein
VOG17133	3	3	Xu	REFSEQ tail protein
VOG17134	3	3	Xu	REFSEQ hypothetical protein
VOG17135	3	3	Xu	REFSEQ hypothetical protein
VOG17136	4	4	Xu	REFSEQ hypothetical protein
VOG17137	4	4	Xu	REFSEQ hypothetical protein
VOG17138	4	4	Xu	REFSEQ hypothetical protein
VOG17139	3	3	Xu	REFSEQ hypothetical protein
VOG17140	3	3	Xu	REFSEQ hypothetical protein
VOG17141	4	4	Xu	REFSEQ hypothetical protein
VOG17142	4	4	Xu	REFSEQ hypothetical protein
VOG17143	3	3	Xu	REFSEQ hypothetical protein
VOG17144	4	4	Xu	REFSEQ hypothetical protein
VOG17145	3	3	Xu	REFSEQ hypothetical protein
VOG17146	3	3	Xu	REFSEQ hypothetical protein
VOG17147	4	4	Xu	REFSEQ hypothetical protein
VOG17148	4	4	Xu	REFSEQ hypothetical protein
VOG17149	4	4	Xu	REFSEQ hypothetical protein
VOG17150	5	5	Xu	REFSEQ hypothetical protein
VOG17151	4	4	Xu	REFSEQ hypothetical protein
VOG17152	4	4	Xu	REFSEQ virion structural protein
VOG17153	4	4	Xu	REFSEQ hypothetical protein
VOG17154	5	5	Xu	REFSEQ hypothetical protein
VOG17155	5	5	Xu	REFSEQ hypothetical protein
VOG17156	5	5	Xu	REFSEQ hypothetical protein
VOG17157	6	6	Xu	REFSEQ hypothetical protein
VOG17158	6	6	Xu	REFSEQ hypothetical protein
VOG17159	6	6	Xu	REFSEQ virion structural protein
VOG17160	6	6	Xu	REFSEQ virion structural protein
VOG17161	5	5	Xu	REFSEQ hypothetical protein
VOG17162	6	6	Xu	REFSEQ hypothetical protein
VOG17163	6	6	Xu	REFSEQ virion structural protein
VOG17164	5	5	Xu	REFSEQ hypothetical protein
VOG17165	5	5	Xu	REFSEQ hypothetical protein
VOG17166	6	6	Xu	REFSEQ hypothetical protein
VOG17167	6	6	Xu	REFSEQ hypothetical protein
VOG17168	6	6	Xu	REFSEQ hypothetical protein
VOG17169	6	6	Xu	REFSEQ virion structural protein
VOG17170	5	5	Xu	REFSEQ hypothetical protein
VOG17171	5	5	Xu	REFSEQ hypothetical protein
VOG17172	5	5	Xu	REFSEQ hypothetical protein
VOG17173	3	3	Xu	REFSEQ hypothetical protein
VOG17174	5	5	Xu	REFSEQ hypothetical protein
VOG17175	6	6	Xu	REFSEQ hypothetical protein
VOG17176	6	6	Xu	REFSEQ hypothetical protein
VOG17177	5	5	Xu	REFSEQ hypothetical protein
VOG17178	6	6	Xu	REFSEQ hypothetical protein
VOG17179	4	4	Xu	REFSEQ hypothetical protein
VOG17180	5	5	Xu	REFSEQ hypothetical protein
VOG17181	5	5	Xu	REFSEQ hypothetical protein
VOG17182	5	5	Xu	REFSEQ hypothetical protein
VOG17183	4	4	Xu	REFSEQ hypothetical protein
VOG17184	4	4	Xu	REFSEQ hypothetical protein
VOG17185	5	5	Xu	REFSEQ hypothetical protein
VOG17186	5	5	Xu	REFSEQ hypothetical protein
VOG17187	7	7	Xu	REFSEQ hypothetical protein
VOG17188	5	5	Xu	REFSEQ hypothetical protein
VOG17189	5	5	Xu	REFSEQ hypothetical protein
VOG17190	3	3	Xu	REFSEQ hypothetical protein
VOG17191	7	7	Xu	REFSEQ hypothetical protein
VOG17192	8	8	Xu	REFSEQ hypothetical protein
VOG17193	8	8	Xu	REFSEQ hypothetical protein
VOG17194	8	8	Xu	REFSEQ hypothetical protein
VOG17195	8	8	Xu	REFSEQ hypothetical protein
VOG17196	9	8	Xu	REFSEQ hypothetical protein
VOG17197	8	8	Xu	REFSEQ hypothetical protein
VOG17198	8	8	Xu	REFSEQ hypothetical protein
VOG17199	8	8	Xu	REFSEQ hypothetical protein
VOG17200	3	3	Xu	REFSEQ hypothetical protein
VOG17201	7	7	Xu	REFSEQ hypothetical protein
VOG17202	3	3	Xu	REFSEQ hypothetical protein
VOG17203	5	5	Xu	REFSEQ hypothetical protein
VOG17204	4	4	Xu	REFSEQ hypothetical protein
VOG17205	3	3	Xu	REFSEQ hypothetical protein
VOG17206	5	5	Xu	REFSEQ hypothetical protein
VOG17207	5	5	Xu	REFSEQ hypothetical protein
VOG17208	3	3	Xu	REFSEQ hypothetical protein
VOG17209	4	4	Xu	REFSEQ hypothetical protein
VOG17210	3	3	Xu	REFSEQ hypothetical protein
VOG17211	3	3	Xu	REFSEQ hypothetical protein
VOG17212	3	3	Xu	REFSEQ hypothetical protein
VOG17213	3	3	Xu	REFSEQ hypothetical protein
VOG17214	3	3	Xu	REFSEQ hypothetical protein
VOG17215	3	3	Xu	REFSEQ hypothetical protein
VOG17216	3	3	Xu	REFSEQ hypothetical protein
VOG17217	3	3	Xu	REFSEQ hypothetical protein
VOG17218	5	5	Xu	REFSEQ hypothetical protein
VOG17219	4	4	Xu	REFSEQ hypothetical protein
VOG17220	3	3	Xu	REFSEQ hypothetical protein
VOG17221	3	3	Xu	REFSEQ hypothetical protein
VOG17222	3	3	Xu	REFSEQ hypothetical protein
VOG17223	3	3	Xu	REFSEQ hypothetical protein
VOG17224	3	3	Xu	REFSEQ hypothetical protein
VOG17225	3	3	Xu	REFSEQ hypothetical protein
VOG17226	3	3	Xu	REFSEQ hypothetical protein
VOG17227	3	3	Xu	REFSEQ hypothetical protein
VOG17228	3	3	Xu	REFSEQ hypothetical protein
VOG17229	3	3	Xu	REFSEQ hypothetical protein
VOG17230	3	3	Xu	REFSEQ hypothetical protein
VOG17231	3	3	Xu	REFSEQ hypothetical protein
VOG17232	3	3	Xu	REFSEQ hypothetical protein
VOG17233	3	3	Xu	REFSEQ hypothetical protein
VOG17234	3	3	Xu	REFSEQ hypothetical protein
VOG17235	3	3	Xu	REFSEQ hypothetical protein
VOG17236	3	3	Xu	REFSEQ hypothetical protein
VOG17237	3	3	Xu	REFSEQ hypothetical protein
VOG17238	3	3	Xu	REFSEQ hypothetical protein
VOG17239	3	3	Xu	REFSEQ hypothetical protein
VOG17240	3	3	Xu	REFSEQ hypothetical protein
VOG17241	5	5	Xu	REFSEQ hypothetical protein
VOG17242	3	3	Xu	REFSEQ hypothetical protein
VOG17243	3	3	Xu	REFSEQ hypothetical protein
VOG17244	3	3	Xu	REFSEQ hypothetical protein
VOG17245	3	3	Xu	REFSEQ GTP 3',8-cyclase
VOG17246	3	3	Xu	REFSEQ hypothetical protein
VOG17247	3	3	Xu	REFSEQ hypothetical protein
VOG17248	3	3	Xu	REFSEQ hypothetical protein
VOG17249	3	3	Xu	REFSEQ hypothetical protein
VOG17250	3	3	Xu	REFSEQ hypothetical protein
VOG17251	3	3	Xu	REFSEQ hypothetical protein
VOG17252	3	3	Xu	REFSEQ hypothetical protein
VOG17253	5	5	Xu	REFSEQ hypothetical protein
VOG17254	3	3	Xu	REFSEQ hypothetical protein
VOG17255	3	3	Xu	REFSEQ hypothetical protein
VOG17256	3	3	Xu	REFSEQ hypothetical protein
VOG17257	3	3	Xu	REFSEQ hypothetical protein
VOG17258	3	3	Xu	REFSEQ hypothetical protein
VOG17259	3	3	Xu	REFSEQ hypothetical protein
VOG17260	3	3	Xu	REFSEQ hypothetical protein
VOG17261	5	5	Xu	REFSEQ hypothetical protein
VOG17262	3	3	Xu	REFSEQ hypothetical protein
VOG17263	3	3	Xu	REFSEQ hypothetical protein
VOG17264	3	3	Xu	REFSEQ hypothetical protein
VOG17265	7	7	Xu	REFSEQ hypothetical protein
VOG17266	4	4	Xu	REFSEQ hypothetical protein
VOG17267	3	3	Xu	REFSEQ hypothetical protein
VOG17268	13	13	Xu	REFSEQ hypothetical protein
VOG17269	3	3	Xu	REFSEQ hypothetical protein
VOG17270	3	3	Xu	sp|P26295|DRN1_STREQ Deoxyribonuclease
VOG17271	3	3	Xu	REFSEQ hypothetical protein
VOG17272	3	3	Xu	REFSEQ hypothetical protein
VOG17273	7	7	Xu	REFSEQ hypothetical protein
VOG17274	4	4	Xu	REFSEQ maturation/adhesion protein
VOG17275	4	4	Xu	REFSEQ hypothetical protein
VOG17276	4	4	Xu	REFSEQ hypothetical protein
VOG17277	3	3	Xu	REFSEQ hypothetical protein
VOG17278	3	3	Xu	REFSEQ hypothetical protein
VOG17279	3	3	Xu	REFSEQ hypothetical protein
VOG17280	4	4	Xu	REFSEQ hypothetical protein
VOG17281	4	4	Xu	REFSEQ hypothetical protein
VOG17282	4	4	Xu	REFSEQ hypothetical protein
VOG17283	3	3	Xu	REFSEQ hypothetical protein
VOG17284	3	3	Xu	REFSEQ hypothetical protein
VOG17285	3	3	Xu	REFSEQ hypothetical protein
VOG17286	3	3	Xu	REFSEQ hypothetical protein
VOG17287	3	3	Xu	REFSEQ hypothetical protein
VOG17288	10	10	Xu	REFSEQ hypothetical protein
VOG17289	3	3	Xu	REFSEQ putative replication protein
VOG17290	5	5	Xu	REFSEQ hypothetical protein
VOG17291	3	3	Xu	REFSEQ hypothetical protein
VOG17292	4	4	Xu	REFSEQ hypothetical protein
VOG17293	3	3	Xu	REFSEQ hypothetical protein
VOG17294	6	6	Xu	REFSEQ hypothetical protein
VOG17295	6	6	Xu	REFSEQ hypothetical protein
VOG17296	6	5	Xu	REFSEQ hypothetical protein
VOG17297	5	5	Xu	REFSEQ hypothetical protein
VOG17298	5	5	Xu	REFSEQ hypothetical protein
VOG17299	4	4	Xu	REFSEQ hypothetical protein
VOG17300	6	3	Xu	REFSEQ hypothetical protein
VOG17301	12	12	Xu	REFSEQ hypothetical protein
VOG17302	14	14	Xu	REFSEQ hypothetical protein
VOG17303	9	9	Xu	REFSEQ hypothetical protein
VOG17304	4	4	Xu	REFSEQ hypothetical protein
VOG17305	3	3	Xu	REFSEQ hypothetical protein
VOG17306	13	13	Xu	REFSEQ hypothetical protein
VOG17307	5	5	Xu	REFSEQ hypothetical protein
VOG17308	3	3	Xu	REFSEQ hypothetical protein
VOG17309	4	4	Xu	REFSEQ hypothetical protein
VOG17310	7	7	Xu	REFSEQ hypothetical protein
VOG17311	15	9	Xu	REFSEQ hypothetical protein
VOG17312	11	11	Xu	REFSEQ hypothetical protein
VOG17313	9	9	Xu	REFSEQ hypothetical protein
VOG17314	4	4	Xu	REFSEQ hypothetical protein
VOG17315	10	10	Xu	REFSEQ hypothetical protein
VOG17316	3	3	Xu	REFSEQ hypothetical protein
VOG17317	8	8	Xu	REFSEQ hypothetical protein
VOG17318	3	3	Xu	REFSEQ hypothetical protein
VOG17319	4	4	Xu	REFSEQ hypothetical protein
VOG17320	4	3	Xu	REFSEQ hypothetical protein
VOG17321	7	4	Xu	REFSEQ hypothetical protein
VOG17322	8	8	Xu	REFSEQ hypothetical protein
VOG17323	12	12	Xu	REFSEQ hypothetical protein
VOG17324	3	3	Xu	REFSEQ hypothetical protein
